timestamp,corrected
"11/1/24 08:43",""
"11/13/24 09:48",""
"11/13/24 13:35",""
"10/1/24 08:37",""
"4/28/24 15:21","9/30/24 15:01"
"12/9/24 17:33",""
"10/6/24 14:27","10/1/24 14:27"
"10/2/24 05:40","10/2/24 08:40"

"12/1/24 16:45","12/11/24 16:45"
"11/1/24 14:24",""
"10/4/24 15:09","10/4/24 15:07"
"11/4/24 08:44","11/4/24 08:49"
"9/13/24 12:00",""
"10/7/24 08:25",""
"8/21/24 12:55","8/21/24 12:35"
"10/18/24 08:24",""

"12/3/24 14:47",""
"10/24/24 12:53","10/24/24 12:33"
"7/31/24 4:17",""
"10/30/24 08:52",""
"11/11/24 10:58",""
"12/15/24 10:52","12/5/24 16:52"
"10/16/24 14:55",""
"10/7/24 13:09","10/7/24 13:59"

"12/1/24 12:57","12/11/24 12:57"
"12/10/24 19:34","12/10/24 17:34"
"12/10/24 14:35",""
"10/2/24 13:43",""
"8/15/24 11:53 AM",""
"10/2/24 14:59","10/21/24 14:57"
"10/3/24 09:57",""
"8/23/24 13:55",""

"9/27/24 11:03",""
"9/26/24 12:44",""
"9/27/24 16:09",""
"9/30/24 12:03",""
"9/16/24 11:43",""
"9/16/24 2:49 PM",""
"9/17/24 12:40",""
"9/17/24 08:24",""

"9/16/24 05:30","9/16/24 08:30"
"9/12/24 14:51",""
"9/25/24 14:47",""
"9/20/24 09:18","9/26/24 09:18"
"10/18/24 08:24",""
"10/16/24 08:28",""
"10/18/24 11:51","10/15/24 11:51"

"8/29/24 12:29",""
"10/31/24 16:13",""
"11/14/24 16:26","11/11/24 16:26"
"8/27/24 11:50",""
"8/28/24 10:45",""
"8/1/24 6:11 PM",""
"10/8/24 15:46","10/8/24 15:16"
"12/4/24 11:52",""

"4/26/24 11:50","9/6/24 11:50"
"9/5/24 15:23",""
"9/6/24 8:23",""
"11/9/24 14:45","11/4/24 14:45"
"11/4/24 14:45",""
"10/11/24 15:48",""
"10/14/24 08:28",""
"12/18/24 17:11",""

"12/6/24 10:34",""
"10/8/24 08:20",""
"11/6/24 14:59",""
"11/26/24 18:29","11/6/24 13:29"
"10/28/24 08:47",""
"10/28/24 08:47",""
"10/28/24 14:10",""
"10/23/24 15:11",""

"9/13/24 08:19",""
"9/25/24 11:30","9/25/24 11:36"
"9/4/24 12:44",""
"9/5/24 9:04",""
"8/21/24 09:59",""
"8/20/24 10:09 AM",""
"9/24/24 13:52",""
"10/17/24 16:03",""

"10/14/24 13:52",""
"10/15/24 08:36",""
"12/3/24 09:02",""
"11/8/24 11:02",""
"12/17/24 12:01",""
"12/3/24 08:52","12/2/24 08:52"
"11/8/24 14:32",""
"10/18/24 08:21","10/29/24 08:21"

"9/11/24 14:51",""
"9/12/24 09:59",""
"9/4/24 8:59",""
"9/3/24 12:17",""
"9/23/24 15:20",""
"9/24/24 08:25",""
"8/10/24 15:44","8/16/24 15:44"
"10/17/24 13:58",""

"8/2/24 10:25","8/21/24 16:25"
"10/19/24 14:36","10/18/24 14:36"
"11/15/24 17:06","11/15/24 17:06"
"8/22/24 09:53","8/22/24 09:53"
"10/21/24 08:26",""
"10/21/24 08:20","10/21/24 08:26"
"8/23/24 10:36",""
"11/15/24 17:06",""

"10/19/24 13:22","11/19/24 13:22"
"11/18/24 16:15",""
"9/18/24 07:42","9/18/24 09:42"
"11/18/24 10:07","11/18/24 16:07"
"9/23/24 08:23",""
"10/22/24 12:01",""
"11/18/24 13:49",""
"10/23/24 09:30","10/23/24 09:36"

"8/24/24 10:04","8/26/24 10:04"
"8/23/24 5:06 PM",""
"8/23/24 5:00 PM","8/23/24 13:06"
"11/1/24 11:40","11/11/24 14:40"
"12/4/24 13:35",""
"8/26/24 12:54",""
"10/8/24 13:53","10/31/24 13:33"
"8/1/24 10:50 AM",""

"9/30/24 12:30","9/10/24 12:30"
"9/11/24 8:31",""
"8/29/24 17:57",""
"8/30/24 15:04",""
"9/20/24 15:32",""
"9/18/24 12:28","9/18/24 12:20"
"9/18/24 13:42","9/18/24 15:42"
"8/30/24 09:37",""

"11/21/24 10:45",""
"11/20/24 13:15","9/19/24 13:32"
"11/20/24 04:32","11/20/24 13:15"
"","11/20/24 09:32"
"9/19/24 09:16",""
"9/14/24 15:39","9/19/24 15:39"
"9/20/24 08:43",""
"8/24/24 15:19","8/26/24 15:19"

"11/12/24 09:06",""
"8/26/24 2:08PM",""
"9/29/24 11:54","9/20/24 11:54"
"9/7/24 11:37 AM","8/7/24 11:37 AM"
"9/11/24 11:21",""
"10/25/24 14:43",""
"8/24/24 11:39 AM","8/6/24 11:39 AM"
"11/1/24 10:00",""

"12/18/24 12:06",""
"10/18/24 09:56","10/14/24, 09:56"
"11/5/24 15:09",""
"9/4/24 9:11","9/9/24 9:11"
"12/23/24 14:03",""
"11/5/24 08:40",""
"12/17/24 15:00",""
"11/18/24 10:02",""

"9/10/24 10:39",""
"11/6/24 09:03",""
"10/3/24 15:47","10/3/24 15:17"
"10/25/24 04:38","10/25/24 09:38"
"10/17/24 10:09",""
"8/16/24 15:44",""
"9/3/24 10:25",""
"9/23/24 13:35",""
